stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,ext_id,city_name,direction_id
AST-323-A-323-B,,Quatre routes,,47.36045400,-2.37357900,,,1,,0,,,SAINT LYPHARD,
AST-41-A-41-B,,Quelnet,,47.46567710,-2.33239765,,,1,,0,,,FEREL,
AST-282-A-282-B,,Quimiac,,47.40614003,-2.48463462,,,1,,0,,,MESQUER,
AST-96-A-96-B,,Ranrouët,,47.44435185,-2.31280846,,,1,,0,,,HERBIGNAC,
AST-37-A-37-B,,Riégas,,47.48266640,-2.36907705,,,1,,0,,,FEREL,
AST-21-A-21-B,,Roche Mathieu,,47.27279594,-2.47838152,,,1,,0,,,BATZ/MER,
AST-27-28,,Roffiat,,47.27738687,-2.44579864,,,1,,0,,,BATZ/MER,
AST-222,,Rohello,,47.29568900,-2.52027650,,,1,,0,,,LE CROISIC,
AST-144-A-144-B,,Rond-point de Breil,,47.28106043,-2.37370228,,,1,,0,,,LA BAULE,
AST-290-291,,Route du Bile,,47.45998535,-2.47698080,,,1,,0,,,PENESTIN,
AST-136-A-136-B,,Royal,,47.28335995,-2.40652150,,,1,,0,,,LA BAULE,
AST-78,,Rue de la pierre,,47.32576346,-2.40732683,,,1,,0,,,GUERANDE,
AST-79,,Rue des Guerets,,47.32286845,-2.40638384,,,1,,0,,,GUERANDE,
AST-219,,Sable Menu,,47.28849240,-2.52132390,,,1,,0,,,LE CROISIC,
AST-SCO01,,Sacré Cœur,,47.26518821,-2.34323843,,,1,,0,,,PORNICHET,
AST-11231114-11231115,,Saillé,,47.29661950,-2.43526400,,,1,,0,,,SAILLE,
AST-213-A-213-B,,Saint Goustan,,47.30088812,-2.52778166,,,1,,0,,,LE CROISIC,
AST-211,,Saint Jean de Dieu,,47.29973390,-2.51893339,,,1,,0,,,LE CROISIC,
AST-STS01-STS02,,Saint Sébastien,,47.25590000,-2.32037995,,,1,,0,,,PORNICHET,
AST-307-A-307-B,,Saint Sébastien de Piriac,,47.36792272,-2.51800913,,,1,,0,,,PIRIAC / MER,
AST-82,,Saint-Armel,,47.32426400,-2.42802047,,,1,,0,,,GUERANDE,
AST-160-A-160-B,,Saint-Servais,,47.30122290,-2.37135680,,,1,,0,,,LA BAULE,
AST-374-375,,Sarcelles,,47.28017336,-2.41962819,,,1,,0,,,LA BAULE,
AST-311-A-311-B,,Sissac,,47.36413323,-2.52617004,,,1,,0,,,PIRIAC / MER,
AST-353,,Six chemins,,47.25928070,-2.28112900,,,1,,0,,,SAINT NAZAIRE,
AST-354,,Six chemins,,47.25958040,-2.28310890,,,1,,0,,,SAINT NAZAIRE,
AST-370-371,,SNCF La Baule les Pins,,47.28328285,-2.36606595,,,1,,0,,,LA BAULE,
AST-277-A-277-B,,Sorlock,,47.41593142,-2.47070799,,,1,,0,,,MESQUER,
AST-131-132,,Stade,,47.27967098,-2.42337351,,,1,,0,,,LA BAULE,
AST-320-A-320-B,,Stade,,47.40027048,-2.30570904,,,1,,0,,,SAINT LYPHARD,
AST-266-A-266-B,,Sterwitz,,47.28224460,-2.42799990,,,1,,0,,,LE POULIGUEN,
AST-133-134,,Tennis,,47.28178515,-2.41321770,,,1,,0,,,LA BAULE,
